word,sentence,video_id
Abend,"Wenn Niemand ihr zu Gefallen lachte , so sah sie nur ihren Herrn an , welcher aus einer schmeichelhaften Gefälligkeit sogleich bereit war , durch sein überlautes Gelächter ihren Scherz bei Ehren zu erhalten . Nach getaner Arbeit , sagte der Baronet , ist gut feiern , wir begaben uns gegen sieben Uhr des Abends wieder in den Speisesaal und hernach wurde bis gegen Mitternacht getanzt . Der Doktor eröffnete den Ball mit Sir Beauchamp Gemahlin , er würde auch ohne Zweifel bis auf den letzten Mann ausgehalten haben , wenn ihn nicht ein kleiner Zufall davon abgehalten hätte .",19
Abend,"Noch währte die Feldschlacht , Noch das Würgen und Fallen , das Jauchzen und Ächzen der Kämpfer . Schon entbrannte der Abend . Schon zogen Geier und Adler Langsam , gierigkreischend herum , gleich wandelnden Wolken .",19
Abend,"Mein Kind ist bucklig ; aber es befindet sich sonst ganz gut . "" Den zwölften Abend ( Donnerstags , den 7ten Mai , ) wurde der Spieler , vom Regnard , aufgeführt . Dieses Stück ist ohne Zweifel das beste , was Regnard gemacht hat ; aber Riviere du Freny , der bald darauf gleichfalls einen Spieler auf die Bühne brachte , nahm ihn wegen der Erfindung in Anspruch .",19
Abend,"Selbst gegen den Menschen legen sie zuweilen einen bewunderungswürdigen Mut an den Tag . Sie sind frühzeitig munter und gehen erst spät zur Ruhe ; man sieht sie oft noch in der Dämmerung des Abends umherschweben . Ihr Geschrei ist ein helles fröhliches "" Kli kli kli "" , welches verschieden betont wird , je nachdem es Augst oder Freude ausdrücken soll .",19
Abend,"Sie ist die Krone der Frauen , Beifall folget ihr nach . So kommt sie dem Abend des Lebens Immer näher und näher ; sie wird in traurigen Stürmen , Welche sich über sie ziehen , nicht Mut und Stärke verlieren . Die Matrone .",19
Abend,""" Nur einen Sekundanten . Auf Morgen Abend steht die Promenade an . Die Bekannten , auf die ich fest gerechnet , haben mich nachträglich im Stich gelassen , Freunde habe ich nicht , also muß ich an -- Nichtfreunde mich wenden .",19
Abend,"Vielleicht nur aus Eitelkeit ! Eines Abends in die Garderobe tretend , um sich rasch anzukleiden , findet er im Schube seines Toilettenspiegels ein zum Knoten zusammengekniffenes Zettelchen , worauf ihm in schlechtgeschriebenen Zeilen der Rat erteilt wird , heute noch eine Unpäßlichkeit zu heucheln und seiner Dame zu sagen , er müsse nach vollbrachter Arbeit heim gehen , die Ruhe zu suchen . Dann aber solle er , bei Nacht , weiter verfahren , wie sein Gefühl ihn am Besten belehren werde .",19
Abend,"Der Prediger dieses Orts von Einem , ein Edelmann der Geburt nach , stand bei den Leuten in geringem Kredit , weil er Narreteidinge auf der Kanzel und andere Possen auf der Kanzel vorbringe , darüber nicht nur Zuhörer , sondern auch er selbst lachen müsse . Des Abends ging ich zu ihm , und blieb bei ihm zum essen , wozu er mich auch den folgenden Tag bitten ließ . Er ist ein freier Mann , der doch vieles vom Glauben und Buße sagt .",19
Abend,"Nicht bloß unwissende und gemeine Leute , welche nie über die Natur der menschlichen Seele nach gedacht haben , und jedes sonderbare Phänomen derselben höheren Wesen außer uns zu zu schreiben sich geneigt fühlen ; sondern selbst Leute von Kopf und Geschmack , Philosophen von Profession , - die doch billig an einem Ahndungsvermögen der Seele zweifeln müßten , da es so erstaunlich viel wider sich , und nur wenig für sich hat , - lassen sich den Glauben daran nicht nehmen , und ich habe manche dasselbe mit einem Enthusiasmus verteidigen hören , als wenn es auf die Untersuchung der allerwichtigsten Wahrheiten angekommen wäre . Ich kenne einige noch lebende Schriftsteller , welche alle ihre zufälligen Amtsveränderungen vorhergesehen zu haben vorgeben , - wozu ihnen eine solche Notiz geholfen hat , wissen sie selbst nicht - , und bei uns lebt noch diesen Augenblick ein Gelehrter , der sich darauf totschlagen ließe , daß er aus gewissen unerklär baren Veränderungen , Blitzschnellen Erscheinungen , und Lichtvibrationen in einem Winkel seiner Stube ; aber NB allemal des Abends , gewisse zufällige Begebenheiten seines Lebens , z.B. den Tod eines Anverwandten vorhersehen könne , wobei ihm denn immer zugleich ein kalter Schauer über die Haut laufen soll . - - In den drei ersten Bänden der Erfahrungsseelenkunde sind viele Beiträge über die Ahnungen abgedruckt worden , davon einige in der Tat sonderbar genug sind ; andere enthalten ganz gewöhnliche , und leicht zu erklärende Vorhersagungen unglücklicher Begebenheiten , woran nicht so wohl jenes erträumte Vorhersehungsvermögen der Seele , als eine melancholische Stimmung des Gemüts , und der bloße Zufall Teil hatte .",19
Abend,"Sieh , sieh , sagte der Graf beim Zurückkehren in seines Onkels großes Zimmer , das ist ja Alles gut gegangen ! Den Rest mache ich heute Abend ab . Ich besuche Ihren Vater in seiner Wohnung .",19
